,Nordost,Korall,Tasman,Süden,Südozean,time
81,0.2541807,0.20866245,0.2866248,0.54939157,,2009-08-21
82,0.2639257,0.21655792,0.28560123,0.45859587,,2009-08-22
83,0.25405952,0.19707735,0.27969396,0.48277357,,2009-08-23
84,0.2626019,0.20747586,0.2755117,0.48550496,,2009-08-24
85,0.2538344,0.18571763,0.34259856,0.4592166,,2009-08-25
86,0.24392053,0.21281359,0.3485259,0.555648,,2009-08-26
87,0.23545927,0.16577768,0.28173438,0.4943496,,2009-08-27
88,0.2196848,0.17616639,0.2995752,0.44374862,,2009-08-28
89,0.23124215,0.16148594,0.281118,0.3959638,,2009-08-29
90,0.24240777,0.16144258,0.27142397,0.40378612,,2009-08-30
91,0.23520806,0.16663948,0.2371265,0.4265045,,2009-08-31
92,0.22413467,0.17322591,0.24950618,0.51250386,,2009-09-01
93,0.22287351,0.18445955,0.3147004,0.5200789,,2009-09-02
94,0.22473551,0.16642441,0.27093554,0.44609007,,2009-09-03
95,0.22232845,0.17104691,0.28657672,0.45381758,,2009-09-04
96,0.2155516,0.17122594,0.28244847,0.46795124,,2009-09-05
97,0.22133902,0.16801722,0.25649223,0.43687654,,2009-09-06
98,0.22814614,0.1606304,0.25469056,0.36941245,,2009-09-07
99,0.2334365,0.16499834,0.22755101,0.38486025,,2009-09-08
100,0.22489174,0.21439855,0.28561574,0.42809752,,2009-09-09
101,0.23278731,0.15609358,0.24733962,0.5409612,,2009-09-10
102,0.22359635,0.18229946,0.3185729,0.4280541,,2009-09-11
103,0.22699189,0.15863577,0.2842669,0.3686561,,2009-09-12
104,0.22595295,0.16783927,0.3965441,0.4199713,,2009-09-13
105,0.22820455,0.14937215,0.29552168,0.41483653,,2009-09-14
106,0.22856048,0.16412044,0.27141908,0.43748623,,2009-09-15
107,0.24053401,0.20726204,0.2551034,0.4370228,,2009-09-16
108,0.23779899,0.17167722,0.26436302,0.42776415,,2009-09-17
109,0.24439357,0.17313796,0.2913017,0.44633707,,2009-09-18
110,0.23963471,0.15921046,0.20718333,0.45040146,,2009-09-19
111,0.23270522,0.20161079,0.29128337,0.35517848,,2009-09-20
112,0.23890096,0.15742272,0.20205835,0.35811213,,2009-09-21
113,0.24666071,0.16798715,0.20410064,0.37863058,,2009-09-22
114,0.2698397,0.17536508,0.263937,0.38300574,,2009-09-23
115,0.27998155,0.23193932,0.2925997,0.4571169,,2009-09-24
116,0.27265567,0.241445,0.33796728,0.43141901,,2009-09-25
117,0.275606,0.23928326,0.39969423,0.4114185,,2009-09-26
118,0.2765428,0.23672295,0.43180263,0.3285465,,2009-09-27
119,0.27989435,0.19022068,0.32488006,0.3718082,,2009-09-28
120,0.27053332,0.19838941,0.53440535,0.37509722,,2009-09-29
121,0.273635,0.16344738,0.3965307,0.3700182,,2009-09-30
122,0.26173365,0.16785172,0.49723563,0.32651803,,2009-10-01
123,0.26263496,0.1648949,0.4925457,0.321206,,2009-10-02
124,0.25960368,0.16545221,0.40147743,0.34373936,,2009-10-03
125,0.26901093,0.15973224,0.25265637,0.34481782,,2009-10-04
126,0.27589685,0.14876215,0.25628114,0.37066123,,2009-10-05
127,0.27507415,0.15263692,0.31939322,0.43509758,,2009-10-06
128,0.2746203,0.1352361,0.24600194,0.42978722,,2009-10-07
129,0.26740885,0.15110418,0.24111754,0.45533633,,2009-10-08
130,0.28003255,0.15670954,0.2226877,0.4463307,,2009-10-09
131,0.28637257,0.16461702,0.25769612,0.50376874,,2009-10-10
132,0.28060636,0.14244217,0.25472927,0.4408524,,2009-10-11
133,0.27168742,0.14647943,0.33902946,0.37844047,,2009-10-12
134,0.26456463,0.16383077,0.3895474,0.35623825,,2009-10-13
135,0.27076262,0.19269894,0.4553036,0.3370977,,2009-10-14
136,0.26085392,0.20332907,0.4378512,0.36501935,,2009-10-15
137,0.270765,0.1987423,0.35903767,0.34323376,,2009-10-16
138,0.28512618,0.1932471,0.2988807,0.37843752,,2009-10-17
139,0.28322643,0.16093542,0.27088138,0.3890226,,2009-10-18
140,0.29087976,0.14928283,0.26140547,0.48815376,,2009-10-19
141,0.29401246,0.15230103,0.280261,0.4284605,,2009-10-20
142,0.2987269,0.14713432,0.27024904,0.3973507,,2009-10-21
143,0.2934644,0.14722018,0.22541656,0.42099765,,2009-10-22
144,0.273042,0.13303266,0.20714469,0.37122297,,2009-10-23
145,0.2743292,0.15837558,0.18866415,0.35844594,,2009-10-24
146,0.27094892,0.15124075,0.16145536,0.3602592,,2009-10-25
147,0.27325842,0.14663157,0.16523401,0.4198004,,2009-10-26
148,0.26777747,0.13133089,0.16584924,0.36796808,,2009-10-27
149,0.27033567,0.12736884,0.16324973,0.40410277,,2009-10-28
150,0.2622086,0.12335897,0.16900547,0.3156622,,2009-10-29
151,0.26340663,0.12289663,0.16171326,0.32262626,,2009-10-30
152,0.2516047,0.13322565,0.16645736,0.3101532,,2009-10-31
153,0.24393071,0.13272302,0.237663,0.3063695,,2009-11-01
154,0.2532442,0.14974709,0.18298173,0.29173735,,2009-11-02
155,0.2616579,0.16861442,0.23521787,0.3057149,,2009-11-03
156,0.25648943,0.16583909,0.2392237,0.3249989,,2009-11-04
157,0.25659752,0.1643655,0.24128783,0.32104322,,2009-11-05
158,0.26074535,0.14254299,0.2400766,0.4016029,,2009-11-06
159,0.25047344,0.124981314,0.17410876,0.4356958,,2009-11-07
160,0.24695645,0.12332298,0.17552006,0.3602561,,2009-11-08
161,0.23720513,0.123073585,0.17689872,0.3907767,,2009-11-09
162,0.24296686,0.12462027,0.20649649,0.3362492,,2009-11-10
163,0.2419571,0.13347752,0.16021897,0.43781608,,2009-11-11
