time,value,variable,station,lon,lat,region,site-id
2009-09-20 20:00:00,12.2,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-20 21:00:00,9.8,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-20 22:00:00,17.2,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-20 23:00:00,25.6,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-21 00:00:00,21.8,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-21 01:00:00,34.3,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-21 02:00:00,24.5,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-21 03:00:00,25.4,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-21 04:00:00,21.3,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-21 05:00:00,25.8,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-21 06:00:00,25.3,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-21 07:00:00,25.6,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-21 08:00:00,24.3,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-21 09:00:00,25.7,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-21 10:00:00,22.6,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-21 11:00:00,17.8,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-21 12:00:00,32.4,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-21 13:00:00,28.0,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-21 14:00:00,40.3,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-21 15:00:00,58.0,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-21 16:00:00,25.2,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-21 17:00:00,21.2,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-21 18:00:00,22.0,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-21 19:00:00,23.2,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-21 20:00:00,28.0,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-21 21:00:00,19.6,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-21 22:00:00,23.9,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-21 23:00:00,19.1,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-22 00:00:00,18.7,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-22 01:00:00,17.9,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-22 02:00:00,17.2,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-22 03:00:00,19.5,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-22 04:00:00,22.1,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-22 05:00:00,24.5,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-22 06:00:00,5.5,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-22 07:00:00,12.8,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-22 08:00:00,11.6,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-22 09:00:00,21.2,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-22 10:00:00,31.0,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-22 11:00:00,30.8,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-22 12:00:00,36.2,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-22 13:00:00,39.8,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-22 14:00:00,45.3,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-22 15:00:00,43.5,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-22 16:00:00,41.8,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-22 17:00:00,42.1,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-22 18:00:00,36.2,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-22 19:00:00,48.6,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-22 20:00:00,12.2,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-22 21:00:00,13.3,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-22 22:00:00,11.5,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-22 23:00:00,12.6,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-23 00:00:00,14.5,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-23 01:00:00,6.0,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-23 02:00:00,16.9,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-23 03:00:00,39.3,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-23 04:00:00,79.4,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-23 05:00:00,518.2,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-23 06:00:00,7714.1,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-23 07:00:00,11799.1,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-23 08:00:00,8530.1,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-23 09:00:00,4699.1,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
