,Nordwest;CHL_mean,Nordwest;CHL_mean_tres_5,Nordwest;CHL_standard_deviation,Nordwest;CHL_standard_deviation_tres_5,Nordwest;CHL_minimum,Nordwest;CHL_minimum_tres_5,Nordwest;CHL_maximum,Nordwest;CHL_maximum_tres_5,Nordwest;CHL_median,Nordwest;CHL_median_tres_5,Nordwest;CHL_percentile_standard_deviation,Nordwest;CHL_percentile_standard_deviation_tres_5,Nordwest;CHL_percentile_3,Nordwest;CHL_percentile_3_tres_5,Nordwest;CHL_percentile_97,Nordwest;CHL_percentile_97_tres_5,Nordwest;CHL_count,Nordwest;CHL_count_tres_5,Nordwest;CHL,Nordwest;CHL_tres_5,Nordwest;CHL_error,Nordwest;CHL_error_tres_5,Korall;CHL_mean,Korall;CHL_mean_tres_5,Korall;CHL_standard_deviation,Korall;CHL_standard_deviation_tres_5,Korall;CHL_minimum,Korall;CHL_minimum_tres_5,Korall;CHL_maximum,Korall;CHL_maximum_tres_5,Korall;CHL_median,Korall;CHL_median_tres_5,Korall;CHL_percentile_standard_deviation,Korall;CHL_percentile_standard_deviation_tres_5,Korall;CHL_percentile_3,Korall;CHL_percentile_3_tres_5,Korall;CHL_percentile_97,Korall;CHL_percentile_97_tres_5,Korall;CHL_count,Korall;CHL_count_tres_5,Korall;CHL,Korall;CHL_tres_5,Korall;CHL_error,Korall;CHL_error_tres_5,Tasman;CHL_mean,Tasman;CHL_mean_tres_5,Tasman;CHL_standard_deviation,Tasman;CHL_standard_deviation_tres_5,Tasman;CHL_minimum,Tasman;CHL_minimum_tres_5,Tasman;CHL_maximum,Tasman;CHL_maximum_tres_5,Tasman;CHL_median,Tasman;CHL_median_tres_5,Tasman;CHL_percentile_standard_deviation,Tasman;CHL_percentile_standard_deviation_tres_5,Tasman;CHL_percentile_3,Tasman;CHL_percentile_3_tres_5,Tasman;CHL_percentile_97,Tasman;CHL_percentile_97_tres_5,Tasman;CHL_count,Tasman;CHL_count_tres_5,Tasman;CHL,Tasman;CHL_tres_5,Tasman;CHL_error,Tasman;CHL_error_tres_5,Süden;CHL_mean,Süden;CHL_mean_tres_5,Süden;CHL_standard_deviation,Süden;CHL_standard_deviation_tres_5,Süden;CHL_minimum,Süden;CHL_minimum_tres_5,Süden;CHL_maximum,Süden;CHL_maximum_tres_5,Süden;CHL_median,Süden;CHL_median_tres_5,Süden;CHL_percentile_standard_deviation,Süden;CHL_percentile_standard_deviation_tres_5,Süden;CHL_percentile_3,Süden;CHL_percentile_3_tres_5,Süden;CHL_percentile_97,Süden;CHL_percentile_97_tres_5,Süden;CHL_count,Süden;CHL_count_tres_5,Süden;CHL,Süden;CHL_tres_5,Süden;CHL_error,Süden;CHL_error_tres_5,Südozean;CHL_mean,Südozean;CHL_mean_tres_5,Südozean;CHL_standard_deviation,Südozean;CHL_standard_deviation_tres_5,Südozean;CHL_minimum,Südozean;CHL_minimum_tres_5,Südozean;CHL_maximum,Südozean;CHL_maximum_tres_5,Südozean;CHL_median,Südozean;CHL_median_tres_5,Südozean;CHL_percentile_standard_deviation,Südozean;CHL_percentile_standard_deviation_tres_5,Südozean;CHL_percentile_3,Südozean;CHL_percentile_3_tres_5,Südozean;CHL_percentile_97,Südozean;CHL_percentile_97_tres_5,Südozean;CHL_count,Südozean;CHL_count_tres_5,Südozean;CHL,Südozean;CHL_tres_5,Südozean;CHL_error,Südozean;CHL_error_tres_5,Komplette Domäne;CHL_mean,Komplette Domäne;CHL_mean_tres_5,Komplette Domäne;CHL_standard_deviation,Komplette Domäne;CHL_standard_deviation_tres_5,Komplette Domäne;CHL_minimum,Komplette Domäne;CHL_minimum_tres_5,Komplette Domäne;CHL_maximum,Komplette Domäne;CHL_maximum_tres_5,Komplette Domäne;CHL_median,Komplette Domäne;CHL_median_tres_5,Komplette Domäne;CHL_percentile_standard_deviation,Komplette Domäne;CHL_percentile_standard_deviation_tres_5,Komplette Domäne;CHL_percentile_3,Komplette Domäne;CHL_percentile_3_tres_5,Komplette Domäne;CHL_percentile_97,Komplette Domäne;CHL_percentile_97_tres_5,Komplette Domäne;CHL_count,Komplette Domäne;CHL_count_tres_5,Komplette Domäne;CHL,Komplette Domäne;CHL_tres_5,Komplette Domäne;CHL_error,Komplette Domäne;CHL_error_tres_5,time,Nordwest;CHL_mean_5,Nordwest;CHL_standard_deviation_5,Nordwest;CHL_minimum_5,Nordwest;CHL_maximum_5,Nordwest;CHL_median_5,Nordwest;CHL_percentile_standard_deviation_5,Nordwest;CHL_percentile_3_5,Nordwest;CHL_percentile_97_5,Nordwest;CHL_count_5,Korall;CHL_mean_5,Korall;CHL_standard_deviation_5,Korall;CHL_minimum_5,Korall;CHL_maximum_5,Korall;CHL_median_5,Korall;CHL_percentile_standard_deviation_5,Korall;CHL_percentile_3_5,Korall;CHL_percentile_97_5,Korall;CHL_count_5,Tasman;CHL_mean_5,Tasman;CHL_standard_deviation_5,Tasman;CHL_minimum_5,Tasman;CHL_maximum_5,Tasman;CHL_median_5,Tasman;CHL_percentile_standard_deviation_5,Tasman;CHL_percentile_3_5,Tasman;CHL_percentile_97_5,Tasman;CHL_count_5,Süden;CHL_mean_5,Süden;CHL_standard_deviation_5,Süden;CHL_minimum_5,Süden;CHL_maximum_5,Süden;CHL_median_5,Süden;CHL_percentile_standard_deviation_5,Süden;CHL_percentile_3_5,Süden;CHL_percentile_97_5,Süden;CHL_count_5,Südozean;CHL_mean_5,Südozean;CHL_standard_deviation_5,Südozean;CHL_minimum_5,Südozean;CHL_maximum_5,Südozean;CHL_median_5,Südozean;CHL_percentile_standard_deviation_5,Südozean;CHL_percentile_3_5,Südozean;CHL_percentile_97_5,Südozean;CHL_count_5,Komplette Domäne;CHL_mean_5,Komplette Domäne;CHL_standard_deviation_5,Komplette Domäne;CHL_minimum_5,Komplette Domäne;CHL_maximum_5,Komplette Domäne;CHL_median_5,Komplette Domäne;CHL_percentile_standard_deviation_5,Komplette Domäne;CHL_percentile_3_5,Komplette Domäne;CHL_percentile_97_5,Komplette Domäne;CHL_count_5,Nordwest;CHL_5,Nordwest;CHL_error_5,Korall;CHL_5,Korall;CHL_error_5,Tasman;CHL_5,Tasman;CHL_error_5,Süden;CHL_5,Süden;CHL_error_5,Südozean;CHL_5,Südozean;CHL_error_5,Komplette Domäne;CHL_5,Komplette Domäne;CHL_error_5
0,0.23761761,,0.10633537,,0.108893655,,0.8021143,,0.23403317,,0.08281728,,0.13220417,,0.5018185,,169.72722,,0.20614801,,0.06733929634094238,,0.107044615,,0.029422827,,0.05780546,,0.22141203,,0.10736156,,0.027549509,,0.06800464,,0.17065592,,130.80197,,0.108264856,,0.03963716506958008,,0.20242383,,0.083337076,,0.0991913,,0.64893985,,0.19657212,,0.062315878,,0.121605456,,0.3965167,,125.43032,,0.20152801,,0.06899233341217041,,0.17091562,,0.059306942,,0.08343912,,0.45596373,,0.16939077,,0.0478661,,0.10257676,,0.3032563,,104.5495,,0.21401572,,0.06614079475402831,,0.14878717,,0.05166279,,0.08706529,,0.319447,,0.1494211,,0.043968715,,0.09497448,,0.26126963,,35.95673,,0.19335702,,0.11216696739196777,,0.15816283,,0.05708294,,0.08348931,,0.4081692,,0.15695594,,0.046873678,,0.09712119,,0.28757402,,91.18875,,0.17913918,,0.077310791015625,,2009-06-01,0.24530257284641266,0.1102880910038948,0.11208577454090118,0.8319388031959534,0.24179816246032715,0.08592618256807327,0.13593065738677979,0.5197522044181824,170.80613708496094,0.1310715675354004,0.033982422202825546,0.07073377817869186,0.2746623754501343,0.13136553764343262,0.030951354652643204,0.0851244106888771,0.20461413264274597,152.19126892089844,0.18438483774662018,0.055098652839660645,0.10287784039974213,0.46345025300979614,0.17940227687358856,0.04387552663683891,0.1230480968952179,0.31366410851478577,141.10609436035156,0.44024109840393066,0.20178461074829102,0.18887166678905487,1.5167772769927979,0.4422648549079895,0.14896437525749207,0.23652663826942444,0.8750520944595337,133.78750610351562,,,,,,,,,,0.20382019877433777,0.07975400239229202,0.09903649240732193,0.6142354011535645,0.20141935348510742,0.06354334950447083,0.11979106068611145,0.39636269211769104,159.8902587890625,0.21073348820209503,0.0688975367399081,0.14329905807971954,0.04865946636133174,0.20806731283664703,0.06811875739083575,0.4570901095867157,0.12618273919149714,,,0.1935373842716217,0.06387944470873663
1,0.2392476,,0.10641555,,0.109544255,,0.8024826,,0.23570456,,0.08245733,,0.1330205,,0.502946,,168.98029,,0.20274813,,0.06763564109802246,,0.10752014,,0.029362952,,0.05826248,,0.22178288,,0.10788169,,0.02746215,,0.06846666,,0.17092514,,130.15137,,0.10656453,,0.03958396911621094,,0.20202863,,0.08281914,,0.099236086,,0.6455978,,0.19627975,,0.062001076,,0.121563025,,0.39349818,,124.06155,,0.21936622,,0.07484106540679931,,0.17119016,,0.05933513,,0.083696395,,0.45894477,,0.16957258,,0.0476964,,0.102998376,,0.3033474,,103.92836,,0.20408985,,0.06527012348175049,,0.14824827,,0.0505795,,0.08640783,,0.31597802,,0.14849985,,0.043362208,,0.09444638,,0.2590169,,36.110935,,0.21240106,,0.12257918357849121,,0.15824685,,0.056813266,,0.08338498,,0.40981266,,0.15691729,,0.046566695,,0.09716138,,0.28662926,,91.15363,,0.18607372,,0.0804870891571045,,2009-06-02,0.24697722494602203,0.11045043915510178,0.11263664066791534,0.8333479762077332,0.24352337419986725,0.08552376180887222,0.1367398053407669,0.5207964777946472,170.09292602539062,0.13202820718288422,0.03412775322794914,0.0721139907836914,0.2765161693096161,0.13229034841060638,0.03098248690366745,0.08595824986696243,0.20578421652317047,151.50328063964844,0.18561863899230957,0.05595725029706955,0.10370302945375443,0.47160103917121887,0.18072810769081116,0.04447652027010918,0.12373550236225128,0.3152739405632019,139.93032836914062,0.4421401023864746,0.19878645241260529,0.1877214014530182,1.5193331241607666,0.44534140825271606,0.14646145701408386,0.23997828364372253,0.8722257614135742,135.82638549804688,,,,,,,,,,0.20520669221878052,0.07995099574327469,0.09985890984535217,0.6167786121368408,0.2028575837612152,0.06338363140821457,0.12064085155725479,0.3974548876285553,159.1708984375,0.2091199904680252,0.07000268227671143,0.14474108815193176,0.049202180468586224,0.2238745391368866,0.07277083980434326,0.3943783640861511,0.1183904685505479,,,0.19424299895763397,0.0649447492407586
2,0.24051791,,0.10638853,,0.109970145,,0.806243,,0.2369281,,0.081959136,,0.13405663,,0.5038268,,168.20824,,0.20691688,,0.06801410675048829,,0.10806554,,0.029567773,,0.05862301,,0.2238329,,0.10842704,,0.02753257,,0.06890084,,0.17179936,,129.23541,,0.10925293,,0.04155520439147949,,0.2015968,,0.08236619,,0.099302374,,0.6419114,,0.19604103,,0.06178294,,0.121369764,,0.39016733,,121.97831,,0.22959353,,0.07784867763519288,,0.17087144,,0.058554526,,0.08366991,,0.44910267,,0.16937476,,0.047560364,,0.102756016,,0.30166394,,103.35258,,0.19529659,,0.0665339183807373,,0.14741628,,0.050428305,,0.08602133,,0.31730372,,0.14759687,,0.042688858,,0.0940563,,0.2569861,,36.116554,,0.21841983,,0.1252099895477295,,0.15808941,,0.056668658,,0.083306365,,0.409412,,0.15679258,,0.046305522,,0.09710739,,0.28557855,,90.70621,,0.18959777,,0.0821384048461914,,2009-06-03,0.24836324155330658,0.11056150496006012,0.11299630999565125,0.8391237258911133,0.2448258399963379,0.08498767763376236,0.13786278665065765,0.5223035216331482,169.4634246826172,0.13280422985553741,0.034490957856178284,0.07307486981153488,0.2805979549884796,0.13302746415138245,0.03102748468518257,0.08676554262638092,0.20748598873615265,150.58978271484375,0.18641215562820435,0.056046612560749054,0.1037093997001648,0.4674079418182373,0.18152004480361938,0.045059967786073685,0.12396177649497986,0.31638941168785095,138.07005310058594,0.44310498237609863,0.19929662346839905,0.18830524384975433,1.5201764106750488,0.4468332827091217,0.14364935457706451,0.23868080973625183,0.8724634647369385,134.6280059814453,,,,,,,,,,0.2063049077987671,0.08014693856239319,0.10036367923021317,0.6204851865768433,0.20390988886356354,0.06315068155527115,0.12148801982402802,0.3989434540271759,158.26283264160156,0.211358442902565,0.06946547942783354,0.1402464359998703,0.04910101853636206,0.23095214366912842,0.0752290239805734,0.4540722966194153,0.12685145062006428,,,0.19612492620944977,0.06553306601139411
3,0.24193698,,0.10617099,,0.110973045,,0.8078045,,0.23823443,,0.08151924,,0.13516794,,0.50482243,,167.58029,,0.20080662,,0.06671696186065673,,0.108649865,,0.029560385,,0.059021775,,0.22346155,,0.1089893,,0.027576461,,0.069375016,,0.172393,,128.47183,,0.11290344,,0.04219863891601563,,0.20162298,,0.083470166,,0.098163985,,0.6524317,,0.1962612,,0.06165171,,0.1210754,,0.38858503,,120.10072,,0.23959702,,0.08182273864746094,,0.1703398,,0.05822269,,0.08349126,,0.44827208,,0.16879228,,0.04712584,,0.10251933,,0.29976037,,104.05777,,0.17871507,,0.06270256519317627,,0.14792149,,0.04994523,,0.08635997,,0.31643936,,0.14818408,,0.042156547,,0.09451894,,0.25579837,,36.73445,,0.23661484,,0.13508497238159178,,0.15858151,,0.056688737,,0.08341793,,0.41109827,,0.15730746,,0.046078824,,0.09741717,,0.28519928,,90.7174,,0.19506188,,0.08456065177917481,,2009-06-04,0.2500409185886383,0.11040735244750977,0.11406756192445755,0.8409155607223511,0.24639755487442017,0.08457262068986893,0.13903307914733887,0.5236971378326416,168.88314819335938,0.13376560807228088,0.03444459289312363,0.0736604556441307,0.2784726023674011,0.13398614525794983,0.03114694356918335,0.08756478875875473,0.20923936367034912,149.3759307861328,0.1873302310705185,0.05654701963067055,0.10191740840673447,0.46816784143447876,0.18254654109477997,0.045604683458805084,0.12384460866451263,0.31761878728866577,136.6022491455078,0.4416249394416809,0.2000858187675476,0.18895012140274048,1.5231207609176636,0.44560471177101135,0.1415272057056427,0.23759275674819946,0.8709120750427246,133.37100219726562,,,,,,,,,,0.2075847089290619,0.08013933151960373,0.10085976868867874,0.6209014654159546,0.20515435934066772,0.06301173567771912,0.12231166660785675,0.40037205815315247,157.33990478515625,0.2094268947839737,0.06927633549972995,0.14214490354061127,0.050895731437396986,0.21509386599063873,0.07225558482120391,0.511328399181366,0.145327265419935,,,0.19453640282154083,0.06601330394394779
4,0.24336284,,0.10613262,,0.11160062,,0.808356,,0.23950368,,0.08137651,,0.13632646,,0.50682753,,167.96582,,0.20764881,,0.06872788906097411,,0.109250106,,0.029879263,,0.05938982,,0.22668287,,0.10959657,,0.027711796,,0.0697538,,0.17355618,,128.08446,,0.11838831,,0.04218040466308594,,0.20130587,,0.081889644,,0.09845245,,0.6443952,,0.19631022,,0.060881842,,0.12138627,,0.3825063,,119.81475,,0.24428052,,0.08488155364990234,,0.16986613,,0.057621777,,0.08314499,,0.44358185,,0.16845031,,0.046957754,,0.10227895,,0.2978195,,104.97909,,0.17462331,,0.06160616874694824,,0.14954327,,0.050076123,,0.08699974,,0.318362,,0.15009819,,0.04251902,,0.09554152,,0.25700933,,37.447895,,0.20996407,,0.1190961742401123,,0.15936784,,0.056533337,,0.08374881,,0.41124108,,0.1582865,,0.04610891,,0.09799683,,0.2850217,,91.24584,,0.18910629,,0.08103446960449219,,2009-06-05,0.25162598490715027,0.11041039973497391,0.11474289000034332,0.8421640396118164,0.24783852696418762,0.08442775905132294,0.1402805745601654,0.526057243347168,169.17481994628906,0.1343894898891449,0.03487539291381836,0.07387686520814896,0.28187647461891174,0.1346481591463089,0.03130470588803291,0.08785088360309601,0.21123503148555756,148.59881591796875,0.1874418407678604,0.05715421587228775,0.1021258607506752,0.47474104166030884,0.1825295090675354,0.04552372545003891,0.12399391084909439,0.3187374472618103,135.99220275878906,0.4387456178665161,0.19589591026306152,0.1852928102016449,1.491832971572876,0.44518423080444336,0.14075683057308197,0.2343723028898239,0.823325514793396,131.249267578125,,,,,,,,,,0.20856620371341705,0.0802859365940094,0.10123907029628754,0.6229843497276306,0.20610159635543823,0.06296064704656601,0.12300945818424225,0.40148645639419556,157.11500549316406,0.2132413536310196,0.0704799425476125,0.14806275069713593,0.05176020027074344,0.219766765832901,0.07381883540180184,0.4790288805961609,0.14843002533673824,,,0.19845765829086304,0.06687577329896158
5,0.24467267,,0.1061197,,0.11202145,,0.81130195,,0.24069215,,0.0812266,,0.1373805,,0.50770664,,168.92238,,0.20972072,,0.06942070007324219,,0.109889366,,0.030016867,,0.059780512,,0.22763897,,0.11026146,,0.027840186,,0.070240356,,0.17458422,,128.1038,,0.11748642,,0.04134361743927002,,0.20105138,,0.07959818,,0.09848392,,0.6188673,,0.19587894,,0.060652886,,0.12134614,,0.38023037,,118.83818,,0.2290205,,0.07992312908172608,,0.16860962,,0.05705764,,0.08287658,,0.43969223,,0.16731437,,0.0467158,,0.101599686,,0.29453793,,104.666306,,0.16569017,,0.0579044246673584,,0.15076482,,0.050445314,,0.088059366,,0.32156032,,0.1513936,,0.042664275,,0.09658231,,0.25915235,,37.224102,,0.20020078,,0.11411519050598144,,0.15974794,,0.05638054,,0.08418058,,0.40998566,,0.15863791,,0.046010472,,0.09840993,,0.28546104,,91.22557,,0.18008287,,0.07723236560821534,,2009-06-06,0.253017395734787,0.1102684736251831,0.11518784612417221,0.8437041640281677,0.24908903241157532,0.08416455239057541,0.14141619205474854,0.526921808719635,170.21530151367188,0.13506174087524414,0.035087332129478455,0.07446715235710144,0.28397977352142334,0.1352759748697281,0.03130015730857849,0.08839297294616699,0.2128535658121109,148.5139923095703,0.18774385750293732,0.056351590901613235,0.10243619233369827,0.4683150053024292,0.18273906409740448,0.044647350907325745,0.12468251585960388,0.32108283042907715,135.14454650878906,0.43583589792251587,0.19794467091560364,0.18234363198280334,1.4979827404022217,0.44113633036613464,0.14198827743530273,0.2322373390197754,0.8211292028427124,132.15185546875,,,,,,,,,,0.2094895988702774,0.08020342886447906,0.10164637118577957,0.6236449480056763,0.20690283179283142,0.06272010505199432,0.1238292008638382,0.4027463495731354,157.52223205566406,0.21237291395664215,0.07059050797911652,0.15345846116542816,0.051317882990582576,0.21223023533821106,0.06550899867722534,0.40381160378456116,0.122451928455813,,,0.19721132516860962,0.06489509242477652
6,0.24582633,,0.10562069,,0.11283223,,0.8097231,,0.24172448,,0.08100722,,0.13847633,,0.5073189,,169.16628,,0.22574787,,0.0740801763534546,,0.11053025,,0.030247524,,0.060147896,,0.22965059,,0.11090931,,0.02803437,,0.07060326,,0.17568253,,128.6539,,0.111866646,,0.039306988716125486,,0.20127286,,0.07901703,,0.09842474,,0.6104392,,0.19631374,,0.061095208,,0.1211788,,0.37994692,,118.16408,,0.22050561,,0.07619767189025879,,0.16733018,,0.054574184,,0.08373185,,0.41424674,,0.16604553,,0.046004545,,0.10171383,,0.29095376,,104.50945,,0.15970983,,0.055678086280822756,,0.14993817,,0.0487402,,0.08784566,,0.31192517,,0.15070133,,0.041831397,,0.096429415,,0.25416118,,37.349537,,0.19438662,,0.11041229248046874,,0.15960056,,0.055400383,,0.08440555,,0.4022548,,0.1585647,,0.04574149,,0.09854714,,0.28367367,,91.38189,,0.17434493,,0.07474308490753173,,2009-06-07,0.25423261523246765,0.10973065346479416,0.11610329896211624,0.842757523059845,0.2501920759677887,0.08391770720481873,0.1426115185022354,0.5262284874916077,170.35394287109375,0.13556523621082306,0.03540446236729622,0.07468388974666595,0.2861223816871643,0.13567855954170227,0.031545501202344894,0.08870759606361389,0.21383582055568695,149.9458465576172,0.18816649913787842,0.05757467821240425,0.10262873768806458,0.47991254925727844,0.18277643620967865,0.04532710090279579,0.12508143484592438,0.32470187544822693,134.25205993652344,0.43372243642807007,0.19294258952140808,0.17927703261375427,1.4962184429168701,0.4403812289237976,0.1383369266986847,0.2294398695230484,0.8077987432479858,135.20986938476562,,,,,,,,,,0.21030040085315704,0.08010673522949219,0.10215916484594345,0.62547367811203,0.20759375393390656,0.06269878149032593,0.12455304712057114,0.40296754240989685,157.9803466796875,0.2244359403848648,0.07416543457614808,0.14380383491516113,0.0492602575275032,0.21560268104076385,0.0691288597463108,0.41651082038879395,0.12025661567785391,,,0.20111049711704254,0.0667892315414764
7,0.24674238,,0.10497077,,0.11357459,,0.80137336,,0.24262938,,0.08083152,,0.13940497,,0.5069937,,169.00444,,0.22045214,,0.07473107814788818,,0.11112362,,0.030479575,,0.06039421,,0.23109017,,0.111506425,,0.028201876,,0.07097025,,0.17670539,,129.44511,,0.111589365,,0.04024584770202637,,0.20124587,,0.07903179,,0.09819171,,0.61004484,,0.19627376,,0.06108193,,0.12084551,,0.3801367,,118.18382,,0.22857806,,0.07734530448913574,,0.16596788,,0.053477727,,0.083447374,,0.40222532,,0.16469023,,0.045549206,,0.101215705,,0.28762412,,102.76195,,0.15589432,,0.05412399768829346,,0.1490921,,0.046791423,,0.08775471,,0.30400163,,0.15025336,,0.04107342,,0.096068636,,0.2479918,,36.705055,,0.19401644,,0.10996718406677246,,0.15945208,,0.054721165,,0.084396996,,0.3980642,,0.15851006,,0.045503385,,0.09849389,,0.28190115,,91.43893,,0.17399517,,0.07463971614837646,,2009-06-08,0.25518298149108887,0.10910078883171082,0.11683288961648941,0.8343960046768188,0.25109320878982544,0.08375460654497147,0.1435413360595703,0.526352047920227,170.26760864257812,0.13638177514076233,0.03562399744987488,0.07525592297315598,0.28813618421554565,0.13651369512081146,0.03163650259375572,0.08938667923212051,0.21528266370296478,150.06895446777344,0.18912062048912048,0.05940072238445282,0.10213757306337357,0.49016788601875305,0.18343771994113922,0.04610723629593849,0.12502950429916382,0.3304871618747711,133.61880493164062,0.43182140588760376,0.1882147490978241,0.17831122875213623,1.4494786262512207,0.43811842799186707,0.13558059930801392,0.2328130602836609,0.8002610802650452,134.20040893554688,,,,,,,,,,0.21115437150001526,0.08002325892448425,0.10263049602508545,0.6223699450492859,0.20837907493114471,0.06270312517881393,0.1253081113100052,0.4041822850704193,157.864501953125,0.22132985293865204,0.07542063133822978,0.1515616476535797,0.053291069741953835,0.21079182624816895,0.06538258371620032,0.42505180835723877,0.12151539719937546,,,0.20144475996494293,0.06824418451743725
8,0.24796003,,0.10451684,,0.11367459,,0.7911399,,0.24359559,,0.08078228,,0.14038466,,0.50823575,,168.61472,,0.20992161,,0.06966562747955322,,0.11169767,,0.03052587,,0.06058596,,0.23167329,,0.112049684,,0.028358033,,0.07129504,,0.17790224,,129.48822,,0.110662505,,0.042036852836608886,,0.2014423,,0.07871794,,0.09817206,,0.6062625,,0.19662562,,0.061120674,,0.120818585,,0.38009262,,118.45797,,0.22486128,,0.07325937271118164,,0.16513337,,0.052609272,,0.083501875,,0.39403176,,0.16382548,,0.045148846,,0.101130195,,0.28481075,,102.28283,,0.1664524,,0.05692561626434326,,0.14940375,,0.047372,,0.088117,,0.30357495,,0.15042791,,0.041705128,,0.09624617,,0.24975276,,35.8787,,0.19207671,,0.10904348373413086,,0.15975359,,0.0546888,,0.084637195,,0.3956967,,0.15878582,,0.04568111,,0.09876972,,0.282136,,91.269424,,0.17344788,,0.07473569393157958,,2009-06-09,0.25639641284942627,0.10871145874261856,0.11688192933797836,0.823697030544281,0.25203537940979004,0.0837257131934166,0.1445087343454361,0.5279490351676941,169.92405700683594,0.13696055114269257,0.03602243587374687,0.07555101811885834,0.29220184683799744,0.1369791328907013,0.031667161732912064,0.08971988409757614,0.21720100939273834,150.62660217285156,0.19056560099124908,0.06062272936105728,0.10293137282133102,0.5019997954368591,0.18467004597187042,0.04681715741753578,0.1258072406053543,0.3356444239616394,136.682373046875,0.4292702376842499,0.18486039340496063,0.17962707579135895,1.4438307285308838,0.43661728501319885,0.13300321996212006,0.23118871450424194,0.7773081660270691,132.32949829101562,,,,,,,,,,0.21212708950042725,0.08006064593791962,0.10288933664560318,0.6197184920310974,0.20916450023651123,0.06275106966495514,0.1259966343641281,0.405926913022995,158.2697296142578,0.2131730020046234,0.0711593134327211,0.14721903204917908,0.054330586688840866,0.17087578773498535,0.05504862607544965,0.35315898060798645,0.10472972249054692,,,0.18871869146823883,0.06466602787193892
9,0.24922644,,0.10529927,,0.11418783,,0.80231243,,0.24472702,,0.08128264,,0.14113729,,0.5127782,,169.21263,,0.22037284,,0.07102717399597168,,0.11219524,,0.03058329,,0.060682874,,0.23177978,,0.11260528,,0.028481508,,0.07149785,,0.17844982,,129.64673,,0.11688422,,0.0459633731842041,,0.20144424,,0.07889746,,0.09829174,,0.6091064,,0.19632746,,0.060920697,,0.1211739,,0.38053048,,118.144585,,0.22170268,,0.07274169921875,,0.16438459,,0.051890332,,0.083490565,,0.3913704,,0.16306832,,0.044431344,,0.10121004,,0.28252465,,103.0033,,0.1576158,,0.053724322319030765,,0.14895403,,0.046326544,,0.08803529,,0.29670492,,0.15015386,,0.04141514,,0.09588009,,0.24652687,,35.1716,,0.1996569,,0.11386205673217774,,0.15979967,,0.05430104,,0.08472031,,0.3946412,,0.15886804,,0.045494117,,0.098886855,,0.2812279,,91.46214,,0.17571709,,0.07638220310211181,,2009-06-10,0.2576901614665985,0.10966712981462479,0.11742237955331802,0.8364430665969849,0.25318193435668945,0.08419452607631683,0.14527350664138794,0.5331911444664001,170.26626586914062,0.13733242452144623,0.03604511544108391,0.07564666122198105,0.2914047837257385,0.13748502731323242,0.03176078945398331,0.08975286781787872,0.2174617052078247,149.02294921875,0.19214117527008057,0.06207309290766716,0.10287971794605255,0.5109031200408936,0.18603143095970154,0.04797689616680145,0.12598499655723572,0.342048317193985,138.1969757080078,0.42754244804382324,0.18105021119117737,0.18039698898792267,1.441407561302185,0.43529507517814636,0.13105925917625427,0.23064906895160675,0.7723875641822815,133.23382568359375,,,,,,,,,,0.21310997009277344,0.08069931715726852,0.1032070741057396,0.6273043155670166,0.21009071171283722,0.06315378844738007,0.12641873955726624,0.40955448150634766,158.17095947265625,0.22640495002269745,0.07311881314706455,0.1696324348449707,0.05955768359990543,0.1976921260356903,0.06255699323685406,0.4092238247394562,0.11670462658870065,,,0.20764923095703125,0.06858068469126011
