,Nordwest,Korall,Tasman,Süden,Südozean,Komplette Domäne,time
70,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-09 18:00:00
71,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-09 21:00:00
72,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-10 00:00:00
73,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-10 03:00:00
74,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-10 06:00:00
75,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-10 09:00:00
76,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-10 12:00:00
77,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-10 15:00:00
78,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-10 18:00:00
79,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-10 21:00:00
80,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-11 00:00:00
81,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-11 03:00:00
82,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-11 06:00:00
83,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-11 09:00:00
84,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-11 12:00:00
85,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-11 15:00:00
86,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-11 18:00:00
87,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-11 21:00:00
88,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-12 00:00:00
89,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-12 03:00:00
90,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-12 06:00:00
91,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-12 09:00:00
92,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-12 12:00:00
93,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-12 15:00:00
94,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-12 18:00:00
95,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-12 21:00:00
96,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-13 00:00:00
97,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-13 03:00:00
98,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-13 06:00:00
99,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-13 09:00:00
